||Month : 11 - 2015|||Vehical : All Vehicals||||By user : asiri
NO|Bill No|Customer|Tol Sale|Varience|Expiries|Damages|Discount|GR|F/Issu|Cash|Cheques|Debit|Credits
264|A01221|U.G.L Hotel - FRI|360|0|0|0|0|0|0|360|0|0|0|
265|A01233|Lional st - FRI|5244|-.83|0|0|218.53|0|0|5244|0|0|0|
266|A01224|H.A.D st - FRI|1231|-.5|0|0|0|0|0|1231|0|0|0|
267|A01268|Kanneliya Canteen - SAT|10377|-.94|0|0|0|0|0|10377|0|0|0|
268|A01247|Wanigarathna st - SAT|1119|-.6|0|0|0|0|0|1119|0|0|0|
269|A01262|Gamage st - Panangala - SAT|1573|-.52|0|0|0|0|0|1573|0|0|0|
270|A01250|Lakmal st - SAT|1305|0|0|0|0|0|0|1305|0|0|0|
271|A01261|Randika st - SAT|1282|-.5|0|0|0|0|0|1282|0|0|0|
272|A01260|N.K.S st - SAT|1362|-.02|0|0|0|0|0|1362|0|0|0|
273|A01253|Gamage st - Hiniduma - SAT|5295|-.6|0|0|220.65|0|0|5295|0|0|0|
274|A01257|Gunawardana st - SAT|1504|-.54|0|0|0|0|0|1504|0|0|0|
275|A01256|Kasun st - SAT|3570|-.02|0|0|0|0|0|3570|0|0|0|
276|A01255|Opatha st - SAT|2005|-.5|45|0|0|0|0|2005|0|0|0|
277|A01249|Thanahena st - SAT|1397|-.1|0|0|0|0|0|1397|0|0|0|
278|A01245|Pradeep st - SAT|3583|-.92|0|0|0|0|0|3583|0|0|0|
279|A01244|K.P.S st - SAT|624|-.75|0|0|0|0|0|624|0|0|0|
280|A01243|Dedunu st - SAT|1593|0|0|0|0|0|0|1593|0|0|0|
281|A01267|Aluth Kade - SAT|270|0|0|0|0|0|0|270|0|0|0|
282|A01242|Liyanage st - SAT|993|-.55|0|0|0|0|0|993|0|0|0|
283|A01254|Induwara st - MON|1726|-.92|0|0|0|0|0|1726|0|0|0|
284|A01006|Keshani st - SAT|5159|-.91|0|0|0|0|0|5159|0|0|0|
285|A01012|Elawalu kade - SAT|7756|-3.54|81|0|323.31|0|0|7756|0|0|0|
286|A01019|Amila st - SAT|4602|-.45|905.13|0|0|0|0|4602|0|0|0|
287|A00987|Ganewatta T/R - FRI|1962|-.93|0|0|0|0|0|1000|0|0|962|
288|A00845|Gayan st - FRI|420|0|0|0|0|0|0|420|0|0|0|
289|A00822|S.D.J. st - FRI|27878|2.32|18|0|3097.3|0|0|27878|0|0|0|
290|A00853|Pathum st - THU|360|0|0|0|0|0|0|360|0|0|0|
291|40531|Ranasinghe st - FRI|2553|-.84|0|0|0|0|0|550|0|0|2003|
292|A00556|Chathuranga Gr - FRI|6809|.65|0|0|335.77|0|0|3000|0|0|2309|
293|A00349|Green Garden Gr - FRI|11852|38.74|90|0|492.22|0|0|0|11852|0|0|
294|A00834|Ariyarathna st - FRI|5039|-.29|0|0|0|0|0|0|5039|0|0|
295|A01228|Ariyarathna st - FRI|4036|-.43|0|0|49.56|0|0|0|4036|0|0|
296|A01216|Sugath st - FRI|17842|-.18|0|0|1982.46|0|1239.04|0|17842|0|0|
297|A00612|Nanayakkara st - FRI|1992|-.78|0|0|0|0|0|0|0|0|1992|
298|A01226|Nanayakkara st - FRI|5200|-.2|0|0|216.68|0|0|0|5200|0|0|
299|A00957|Sena T/R - TUE|4753|-.67|0|0|0|0|0|1753|0|0|3000|
300|A01020|Asiri Hotel - TUE|2765|-.1|0|0|0|0|0|2765|0|0|0|
301|A01022|Thilina st - TUE|7262|-.21|0|0|302.59|0|0|7262|0|0|0|
302|A01032|Mallika st - TUE|1888|-.5|0|0|0|0|0|1888|0|0|0|
303|A01036|Eranda st - TUE|2050|-.92|0|0|0|0|0|2050|0|0|0|
304|A01039|Milina Padmini st - TUE|2765|-.9|0|0|0|0|0|2765|0|0|0|
305|A01044|Galpoththa st - TUE|2356|-.15|0|0|0|0|0|2356|0|0|0|
306|A00967|Liyanage st - TUE|937|-.5|0|0|0|0|0|937|0|0|0|
307|A01281|Akuressa st - TUE|5110|-.9|0|0|0|0|0|1110|0|0|4000|
308|A01285|Wasantha st - TUE|2195|-.16|0|0|0|0|0|695|0|0|1500|
309|A01298|Karunarathna st - TUE|1890|0|0|0|0|0|0|1890|0|0|0|
310|A01294|Yasarathna st - TUE|108|0|0|0|0|0|0|108|0|0|0|
311|A01292|Ravindu st - TUE|360|0|0|0|0|0|0|360|0|0|0|
312|A01291|Senanayaka st - TUE|3203|-.85|986.1|0|133.49|0|0|3203|0|0|0|
