||Month : 11 - 2015|||Vehical : All Vehicals||||By user : asiri
NO|Bill No|Customer|Tol Sale|Varience|Expiries|Damages|Discount|GR|F/Issu|Cash|Cheques|Debit|Credits
235|A01169|Wickrama st - WED|5142|-.72|0|0|214.28|0|0|5142|0|0|0|
236|A01172|Gamage st - Opatha - WED|2182|-.7|0|0|0|0|0|2182|0|0|0|
237|A01174|Chithra T/R - WED|3253|-.23|0|0|0|0|0|0|0|0|3253|
238|A01175|Dananjaya st - THU|7898|-.4|0|0|0|0|0|7740|0|0|158|
239|A01176|Pathum st - THU|1263|0|0|0|0|0|0|0|0|0|1263|
240|A01177|Get Well Pharmacy - THU|2949|-.04|0|0|0|0|0|0|2949|0|0|
241|A01178|Vijaya st - THU|1152|0|0|0|0|0|0|1152|0|0|0|
242|A01179|Himansa Hotel - THU|652|-.5|0|0|0|0|0|0|0|0|652|
243|A01180|Udaya Kumara st - THU|3375|-.18|0|0|0|0|0|3375|0|0|0|
244|A01181|Priyanka st - THU|8493|-.85|744.85|0|353.91|0|0|0|0|0|8493|
245|A01182|W.P.G st - THU|1154|-.16|0|0|0|0|0|1154|0|0|0|
246|A01183|Palliyaguru st - THU|11248|-.75|239.6|0|0|0|0|1248|0|0|10000|
247|A01184|Gunadasa st - THU|2403|-.62|405|0|0|0|0|0|0|0|2403|
248|A01185|Sha Hot & Cool - THU|1170|-.77|0|0|0|0|0|0|0|0|1170|
249|A01188|Premasiri st - THU|1159|-.52|0|0|0|0|0|0|0|0|1159|
250|A01189|Sampath st - THU|1197|-.4|0|0|0|0|0|0|0|0|1197|
251|A01190|Nuwan Tr. - THU|2895|0|0|0|0|0|0|0|0|0|2895|
252|A01191|Chandana st - THU|1126|-.5|0|0|0|0|0|500|0|0|626|
253|A01192|Malini st - THU|2686|-.54|0|0|0|0|0|0|0|0|2686|
254|A01193|Vithanage st - THU|3772|-.58|0|0|0|0|0|0|0|0|3772|
255|A01194|Madura st - THU|2260|-.22|0|0|0|0|0|2260|0|0|0|
256|A01196|Gamage st - THU|1546|-.92|0|0|0|0|0|1546|0|0|0|
257|A01198|Sunflower st - THU|14731|-.46|1386|0|0|0|0|0|0|0|14731|
258|A01199|Subasinghe st - THU|2068|-.5|0|0|0|0|0|2068|0|0|0|
259|A01200|Priyantha st - THU|4090|-.62|0|0|170.44|0|0|0|4090|0|0|
260|A01201|Rathna st - THU|2798|-1.36|90|0|116.64|0|0|2798|0|0|0|
261|A01202|Wije st - THU|3436|-10.12|0|0|219.96|0|0|3436|0|0|0|
262|A01203|Tamilsha st - THU|5406|-.95|0|0|225.29|0|0|5406|0|0|0|
263|A01204|Shanthi st - THU|2832|-.68|0|0|0|0|0|0|0|0|2832|
264|A01207|Jayawardana st - THU|2206|-.54|0|0|0|0|0|0|0|0|2206|
265|A01208|Loku mahaththayage kade - THU|693|0|0|0|0|0|0|693|0|0|0|
266|A01209|B.S.J st - THU|27473|-.46|1136.35|0|1144.73|0|0|0|0|0|27473|
267|A01210|Sakura st - THU|6004|-.66|821.75|0|250.19|0|0|0|0|0|6004|
268|A01211|Shan st - WED|5517|-.66|0|0|229.9|0|0|0|0|0|5517|
269|A01212|Jeewan F/S - FRI|4610|-.22|238.5|0|0|0|0|4610|0|0|0|
270|A01213|Jagoda st - FRI|8100|-.1|0|0|0|0|0|0|0|0|8100|
271|A01214|Deegayu st - FRI|54|0|619.05|0|0|0|0|54|0|0|0|
272|A01216|Sugath st - FRI|17842|-.18|0|0|1982.46|0|1239.04|0|17842|0|0|
273|A01217|Singhagiri Gr. - FRI|21629|-.95|1503|0|901.25|0|0|1629|20000|0|0|
274|A01219|Sehansa Ph - FRI|3066|-.4|0|0|0|0|0|3066|0|0|0|
275|A01220|Aruna Hotel - FRI|2418|-.6|0|0|0|0|0|0|0|0|2418|
276|A01221|U.G.L Hotel - FRI|360|0|0|0|0|0|0|360|0|0|0|
277|A01222|Amarasinghe st - FRI|3772|-.9|0|0|0|0|0|0|0|0|3772|
278|A01223|S.D.J. st - FRI|24265|-.13|0|0|2696.13|0|0|0|0|0|24265|
279|A01224|H.A.D st - FRI|1231|-.5|0|0|0|0|0|1231|0|0|0|
280|A01225|Fruit Shop - FRI|1729|.23|0|0|0|0|0|1729|0|0|0|
281|A01226|Nanayakkara st - FRI|5200|-.2|0|0|216.68|0|0|0|5200|0|0|
282|A01227|Abesena st - FRI|1970|-.1|0|0|0|0|0|1970|0|0|0|
283|A01228|Ariyarathna st - FRI|4036|-.43|0|0|49.56|0|0|0|4036|0|0|
284|A01229|Rasith st - FRI|373|-.5|0|0|0|0|0|373|0|0|0|
285|A01230|Madushani st - FRI|1978|-.5|0|0|0|0|0|1978|0|0|0|
286|A01231|Mahinda st - FRI|1485|-.4|0|0|0|0|0|1485|0|0|0|
287|A01232|Gayan st - FRI|4023|-.02|0|0|0|0|0|0|0|0|4023|
288|A01233|Lional st - FRI|5244|-.83|0|0|218.53|0|0|5244|0|0|0|
289|A01235|Jayawardana st - THU|11972|-.39|0|0|498.85|0|0|11972|0|0|0|
290|A01236|Uthara Hotel - FRI|675|-.75|0|0|0|0|0|675|0|0|0|
291|A01237|Nanayakkara st - FRI|9868|-.21|324|0|629.89|0|0|9868|0|0|0|
292|A01238|Dinuka st - FRI|889|-.52|0|0|0|0|0|889|0|0|0|
293|A01239|Samantha st - TUE|800|0|0|0|0|0|0|0|0|0|800|
294|A01240|U.G.G st - SAT|1797|-.6|0|0|0|0|0|0|0|0|1797|
295|A01241|U.G.S. st - SAT|5555|-.06|0|0|231.46|0|0|0|0|0|5555|
296|A01242|Liyanage st - SAT|993|-.55|0|0|0|0|0|993|0|0|0|
297|A01243|Dedunu st - SAT|1593|0|0|0|0|0|0|1593|0|0|0|
298|A01244|K.P.S st - SAT|624|-.75|0|0|0|0|0|624|0|0|0|
299|A01245|Pradeep st - SAT|3583|-.92|0|0|0|0|0|3583|0|0|0|
300|A01246|Keshani st - SAT|5123|0|0|0|0|0|0|0|0|0|5123|
301|A01247|Wanigarathna st - SAT|1119|-.6|0|0|0|0|0|1119|0|0|0|
302|A01248|Nilmini st - TUE|1798|.12|965.52|0|0|0|0|1798|0|0|0|
303|A01249|Thanahena st - SAT|1397|-.1|0|0|0|0|0|1397|0|0|0|
304|A01250|Lakmal st - SAT|1305|0|0|0|0|0|0|1305|0|0|0|
