892,Rajasinghe st,Kottwa Yatalamatta
891,Suhada st,Kottwa Yatalamatta
890,Dilsara st,Kottawa Yatalamatta
889,Sisila st,Kottwa Yatalamatta
888,Hewage st,Kottwa Yatalamatta
887,Ruwan st,Kottawa Yatalamatta
886,Sameera st,Kottwa Yatalamatta
885,Saman st,Kottawa Yatalamatta
884,Narangoda st,Kottawa Yatalamatta
883,Samanthi st,Kottawa Yatalamatta
882,Kapila st,Kottawa Yatalamatta
881,Chamadi st,Kottwa Yatalamatta
880,Sampath,Kottawa Yatalamatta
879,Sithumina st,Kottwa Yatalamatta
878,Amarasena st,Kottawa Yatalamatta
877,Wasantha st,Kuruduwatta  Bataduwa
876,Shaluka Gr,Milidduwa Magalle
875,S.Dahanayaka st,Kuruduwatta  Bataduwa
874,Highland Gr.,Kuruduwatta  Bataduwa
873,Karunajeewa st,Dangedara  Elliot Road
872,Lankathilaka st,Ovilana Labuduwa
871,Kumudu st,Ovilana Labuduwa
870,Tharanga st,Thalagaha Kuruduwatta
869,Seven cool spot,Ovilana Labuduwa
868,Suranga Hotel,Ovilana Labuduwa
867,T.P.st,Ovilana Labuduwa
866,Priyanka st,Ovilana Labuduwa
865,D.G.st,Ovilana Labuduwa
864,Ambagahawatta st,Nagoda Unanvitiya
863,Pasindu st,Milidduwa Magalle
862,Hema st,Nagoda Unanvitiya
861,Sampath st,Nagoda Unanvitiya
860,Budusarana kade,Yatalamatta bandarapura
859,Pathmasiri st,Nagoda Unanvitiya
858,Amila st,Nagoda Unanvitiya
857,Indu Lanka,Nagoda Unanvitiya
856,Kumarage st,Nagoda Unanvitiya
855,G.K.P. st,Nagoda Unanvitiya
854,Elawalu kade,Nagoda Unanvitiya
853,Kariyawasam st,Nagoda Unanvitiya
852,Sanka com.,Dangedara  Elliot Road
851,Co-op Curculer Road,Milidduwa Magalle
850,Jagath st,Kuruduwatta  Bataduwa
849,Priyangika st,Kuruduwatta  Bataduwa
848,Lakmal st,Yatalamatta bandarapura
847,Vijeshama st,Yatalamatta bandarapura
846,Co-op Udalamatta,Yatalamatta bandarapura
845,Tharanga st,Yatalamatta bandarapura
844,M.R. Tree st,Dangedara  Elliot Road
843,Arachchi st,Nagoda Unanvitiya
842,N A T st,Thalagaha Kuruduwatta
841,Kariyawasam st,Thalagaha Kuruduwatta
840,D mart,Thalagaha Kuruduwatta
839,Lahiru st,Thalagaha Kuruduwatta
838,Peduru st,Thalagaha Kuruduwatta
837,Smart shop,Thalagaha Kuruduwatta
836,Rasika st,Thalagaha Kuruduwatta
835,Binuri st,Nagoda Unanvitiya
834,Janaka st,Nagoda Unanvitiya
833,Nishantha st,Nagoda Unanvitiya
832,Jansan t /r,Nagoda Unanvitiya
831,Shriyalatha st,Nagoda Unanvitiya
830,Rathnasiri st,Nagoda Unanvitiya
829,Shriyani Hotel,Nagoda Unanvitiya
828,Dayawansa st,Nagoda Unanvitiya
827,Godakanda st,Nagoda Unanvitiya
826,J.K.P st,Nagoda Unanvitiya
825,Liyanage st,Nagoda Unanvitiya
824,Nawala kade,Nagoda Unanvitiya
823,T.L.P. st,Nagoda Unanvitiya
822,Badunwatta st,Nagoda Unanvitiya
821,Shama st,Nagoda Unanvitiya
820,Jayabima st,Nagoda Unanvitiya
819,Darshana st,Kottwa Yatalamatta
818,Shakthi st,Kottwa Yatalamatta
817,Rajasinghe st,Yatalamatta bandarapura
816,Disara st,Kottwa Yatalamatta
815,Amith st,Kottwa Yatalamatta
814,Madushan st,Kottawa Yatalamatta
813,Kanthoru kade,Kottwa Yatalamatta
812,Amila st,Kottawa Yatalamatta
811,Sadaruwan st,Kottawa Yatalamatta
810,Sahas st,Kottwa Yatalamatta
809,Mabotuwana st,Kottwa Yatalamatta
808,Deepa st,Kottwa Yatalamatta
807,S.H. st,Kottwa Yatalamatta
806,Babaramulla st,Kottwa Yatalamatta
805,Co-op Kottawa,Kottwa Yatalamatta
804,Wijewardana st,Kottawa Yatalamatta
803,Prabath st,Kottwa Yatalamatta
802,Vijesena st,Kottwa Yatalamatta
801,Priyanthi st,Narawala  Ambalanwatta
800,W.L.D. st,Dangedara  Elliot Road
799,Chinthaka st,Yatalamatta bandarapura
798,Lithum st,Yatalamattha Banbarapura
797,Kolamba kade,Yatalamatta bandarapura
796,Batuwanthudawa st,Yatalamattha Banbarapura
795,Korale kade,Yatalamattha Banbarapura
794,Pahe kade,Yatalamattha Banbarapura
793,Gunawardana st,Yatalamatta bandarapura
792,Shantha st,Yatalamatta bandarapura
791,K.G.Priyantha st,Yatalamatta bandarapura
790,W.K.P. st,Yatalamatta bandarapura
789,South Tr.,Milidduwa Magalle
788,Malithi st,Dangedara  Elliot Road
787,Nanayakkara st,Kuruduwatta Kottawa
786,Sriyalatha st,Kuruduwatta Kottawa
785,Paragahawatta st,Kuruduwatta  Bataduwa
784,P.R.H. Ravindu st,Dangedara  Elliot Road
783,A.L.M.st,Dangedara  Elliot Road
782,Crystal Pharmacy,Kithulampitiya Karapitiya
781,Kirana Hotel,Kuruduwatta Kottawa
780,Chandrasena st,Milidduwa Magalle
779,Sudath st,Milidduwa Magalle
778,Priyanka G/ M,Milidduwa Magalle
777,Wickrama st,Yatalamatta bandarapura
776,Nethmina st,Yatalamattha Banbarapura
775,Sumanagala st,Yatalamatta bandarapura
774,Galagoda Kade,Yatalamatta bandarapura
773,Adiswaththa st,Yatalamatta bandarapura
772,Pathinayaka st,Yatalamatta bandarapura
771,Rukmal st,Yatalamatta bandarapura
770,Priyanga st,Yatalamatta bandarapura
769,Dayani st,Yatalamattha Banbarapura
